 (2.600000000000000000e+01+0.000000000000000000e+00j)  (-6.629902884801198715e-01+0.000000000000000000e+00j)  (-1.538093529656204828e-01-2.081668171172168513e-17j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)  (-1.329310128354699083e+00+0.000000000000000000e+00j)  (3.413746024254036837e-01+3.035766082959412415e-18j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)  (3.532197457635185001e-01+0.000000000000000000e+00j)  (-1.165472222604707841e+00+9.540979117872439019e-18j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)  (-3.808193147023142267e-01+0.000000000000000000e+00j)  (-1.199876784893028070e-01-1.561251128379126385e-17j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)  (-1.452413170180018698e+00+0.000000000000000000e+00j)  (-2.073605215717967964e-01+7.589415207398531038e-19j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)  (1.735066949413054671e-01+0.000000000000000000e+00j)  (8.771885574606863578e-01+8.673617379884035472e-19j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)  (-1.081421952070367176e-01+0.000000000000000000e+00j)  (4.553450486138696518e-01-2.255140518769849223e-17j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)  (-1.499647472969286133e+00+0.000000000000000000e+00j)  (1.876538523748359777e-02+0.000000000000000000e+00j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)  (-5.985763176939641605e-02+0.000000000000000000e+00j)  (-5.355132665010422510e-01+1.821459649775647449e-17j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)  (1.333196891410174389e-01+0.000000000000000000e+00j)  (-8.024473479341298621e-01-1.474514954580286030e-17j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)  (-1.467250401196076304e+00+0.000000000000000000e+00j)  (1.753680958326138684e-01+0.000000000000000000e+00j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)  (-3.282834057309226838e-01+0.000000000000000000e+00j)  (1.937633611423804636e-01+9.540979117872439019e-18j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (3.243317566019299214e-01+0.000000000000000000e+00j)  (1.107562833029682947e+00-1.301042606982605321e-17j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)  (-1.357802704216125589e+00+0.000000000000000000e+00j)  (-3.249714455894615606e-01-4.119968255444916849e-18j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (-6.103880537502244241e-01+0.000000000000000000e+00j)  (9.661338335264541000e-02-6.071532165918824830e-18j)
